Year	Week	Y_LT5,T,NR,PL

2000	1	63.0
2000	2	73.0
2000	3	67.0
2000	4	66.0
2000	5	66.0
2000	6	80.0
2000	7	76.0
2000	8	62.0
2000	9	67.0
2000	10	86.0
2000	11	62.0
2000	12	66.0
2000	13	75.0
2000	14	52.0
2000	15	67.0
2000	16	63.0
2000	17	80.0
2000	18	69.0
2000	19	79.0
2000	20	90.0
2000	21	74.0
2000	22	82.0
2000	23	82.0
2000	24	68.0
2000	25	67.0
2000	26	74.0
2000	27	73.0
2000	28	78.0
2000	29	74.0
2000	30	62.0
2000	31	80.0
2000	32	63.0
2000	33	56.0
2000	34	60.0
2000	35	56.0
2000	36	58.0
2000	37	56.0
2000	38	59.0
2000	39	66.0
2000	40	74.0
2000	41	49.0
2000	42	60.0
2000	43	60.0
2000	44	52.0
2000	45	71.0
2000	46	69.0
2000	47	59.0
2000	48	84.0
2000	49	69.0
2000	50	73.0
2000	51	65.0
2000	52	55.0
2000	53	NaN

2001	1	77.0
2001	2	78.0
2001	3	78.0
2001	4	67.0
2001	5	67.0
2001	6	75.0
2001	7	57.0
2001	8	69.0
2001	9	52.0
2001	10	73.0
2001	11	62.0
2001	12	55.0
2001	13	60.0
2001	14	65.0
2001	15	70.0
2001	16	75.0
2001	17	63.0
2001	18	53.0
2001	19	67.0
2001	20	62.0
2001	21	51.0
2001	22	59.0
2001	23	64.0
2001	24	74.0
2001	25	55.0
2001	26	65.0
2001	27	66.0
2001	28	60.0
2001	29	79.0
2001	30	75.0
2001	31	57.0
2001	32	61.0
2001	33	69.0
2001	34	64.0
2001	35	58.0
2001	36	70.0
2001	37	56.0
2001	38	71.0
2001	39	57.0
2001	40	54.0
2001	41	56.0
2001	42	63.0
2001	43	54.0
2001	44	64.0
2001	45	74.0
2001	46	56.0
2001	47	65.0
2001	48	70.0
2001	49	59.0
2001	50	59.0
2001	51	58.0
2001	52	52.0
2001	53	NaN

2002	1	54.0
2002	2	61.0
2002	3	58.0
2002	4	52.0
2002	5	59.0
2002	6	55.0
2002	7	41.0
2002	8	42.0
2002	9	64.0
2002	10	53.0
2002	11	74.0
2002	12	58.0
2002	13	71.0
2002	14	74.0
2002	15	69.0
2002	16	59.0
2002	17	61.0
2002	18	57.0
2002	19	48.0
2002	20	62.0
2002	21	67.0
2002	22	56.0
2002	23	60.0
