Year	Week	Y40-44,T,NR,PL

2000	1	236.0
2000	2	191.0
2000	3	193.0
2000	4	214.0
2000	5	212.0
2000	6	218.0
2000	7	204.0
2000	8	187.0
2000	9	189.0
2000	10	203.0
2000	11	205.0
2000	12	228.0
2000	13	199.0
2000	14	206.0
2000	15	218.0
2000	16	204.0
2000	17	218.0
2000	18	217.0
2000	19	198.0
2000	20	182.0
2000	21	189.0
2000	22	184.0
2000	23	220.0
2000	24	185.0
2000	25	208.0
2000	26	175.0
2000	27	180.0
2000	28	181.0
2000	29	208.0
2000	30	185.0
2000	31	203.0
2000	32	146.0
2000	33	194.0
2000	34	183.0
2000	35	205.0
2000	36	184.0
2000	37	224.0
2000	38	181.0
2000	39	209.0
2000	40	193.0
2000	41	198.0
2000	42	183.0
2000	43	180.0
2000	44	195.0
2000	45	178.0
2000	46	186.0
2000	47	190.0
2000	48	217.0
2000	49	201.0
2000	50	220.0
2000	51	189.0
2000	52	226.0
2000	53	NaN

2001	1	201.0
2001	2	156.0
2001	3	172.0
2001	4	180.0
2001	5	158.0
2001	6	175.0
2001	7	168.0
2001	8	195.0
2001	9	162.0
2001	10	182.0
2001	11	175.0
2001	12	192.0
2001	13	191.0
2001	14	183.0
2001	15	185.0
2001	16	196.0
2001	17	180.0
2001	18	195.0
2001	19	195.0
2001	20	176.0
2001	21	164.0
2001	22	190.0
2001	23	181.0
2001	24	211.0
2001	25	161.0
2001	26	177.0
2001	27	167.0
2001	28	184.0
2001	29	170.0
2001	30	177.0
2001	31	182.0
2001	32	205.0
2001	33	205.0
2001	34	175.0
2001	35	178.0
2001	36	163.0
2001	37	188.0
2001	38	185.0
2001	39	207.0
2001	40	199.0
2001	41	180.0
2001	42	182.0
2001	43	183.0
2001	44	169.0
2001	45	177.0
2001	46	166.0
2001	47	203.0
2001	48	208.0
2001	49	168.0
2001	50	172.0
2001	51	214.0
2001	52	173.0
2001	53	NaN

2002	1	172.0
2002	2	138.0
2002	3	164.0
2002	4	165.0
2002	5	149.0
2002	6	181.0
2002	7	167.0
2002	8	179.0
2002	9	179.0
2002	10	171.0
2002	11	180.0
2002	12	170.0
2002	13	169.0
2002	14	180.0
2002	15	172.0
2002	16	176.0
2002	17	177.0
2002	18	172.0
2002	19	148.0
2002	20	150.0
2002	21	188.0
2002	22	149.0
2002	23	153.0
2002	24	167.0
2002	25	199.0
2002	26	173.0
2002	27	173.0
2002	28	187.0
2002	29	155.0
2002	30	159.0
2002	31	176.0
2002	32	137.0
2002	33	163.0
2002	34	161.0
2002	35	159.0
2002	36	155.0
2002	37	150.0
2002	38	145.0
2002	39	152.0
2002	40	171.0
2002	41	175.0
2002	42	193.0
2002	43	141.0
2002	44	160.0
2002	45	173.0
2002	46	177.0
2002	47	157.0
2002	48	158.0
2002	49	194.0
2002	50	179.0
2002	51	206.0
2002	52	178.0
2002	53	NaN

2003	1	186.0
2003	2	158.0
2003	3	162.0
2003	4	160.0
2003	5	136.0
2003	6	151.0
2003	7	162.0
2003	8	168.0
2003	9	145.0
2003	10	165.0
2003	11	160.0
2003	12	158.0
2003	13	163.0
2003	14	159.0
2003	15	161.0
2003	16	191.0
2003	17	147.0
2003	18	175.0
2003	19	150.0
2003	20	169.0
2003	21	163.0
2003	22	124.0
2003	23	154.0
2003	24	160.0
2003	25	153.0
2003	26	147.0
2003	27	136.0
2003	28	160.0
2003	29	144.0
2003	30	168.0
2003	31	136.0
2003	32	156.0
2003	33	148.0
2003	34	139.0
2003	35	154.0
2003	36	154.0
2003	37	151.0
2003	38	140.0
2003	39	142.0
2003	40	152.0
2003	41	155.0
2003	42	179.0
2003	43	160.0
2003	44	151.0
2003	45	159.0
2003	46	147.0
2003	47	173.0
2003	48	190.0
2003	49	174.0
2003	50	165.0
2003	51	137.0
2003	52	162.0
2003	53	NaN

2004	1	149.0
2004	2	151.0
2004	3	174.0
2004	4	141.0
2004	5	149.0
2004	6	157.0
2004	7	136.0
2004	8	146.0
2004	9	149.0
2004	10	146.0
2004	11	135.0
2004	12	170.0
2004	13	153.0
2004	14	149.0
2004	15	129.0
2004	16	137.0
2004	17	129.0
2004	18	137.0
2004	19	146.0
2004	20	155.0
2004	21	133.0
2004	22	150.0
2004	23	158.0
2004	24	152.0
2004	25	147.0
2004	26	114.0
2004	27	152.0
2004	28	133.0
2004	29	146.0
2004	30	126.0
2004	31	136.0
2004	32	152.0
2004	33	154.0
2004	34	129.0
2004	35	145.0
2004	36	135.0
2004	37	147.0
2004	38	171.0
2004	39	136.0
2004	40	158.0
2004	41	148.0
2004	42	151.0
2004	43	158.0
2004	44	143.0
2004	45	155.0
2004	46	152.0
2004	47	157.0
2004	48	152.0
2004	49	154.0
2004	50	147.0
2004	51	136.0
2004	52	177.0
2004	53	168.0

2005	1	127.0
2005	2	133.0
2005	3	136.0
2005	4	149.0
2005	5	150.0
2005	6	135.0
2005	7	126.0
2005	8	137.0
2005	9	158.0
2005	10	133.0
2005	11	143.0
2005	12	143.0
2005	13	152.0
2005	14	137.0
2005	15	124.0
2005	16	163.0
2005	17	155.0
2005	18	139.0
2005	19	138.0
2005	20	136.0
2005	21	146.0
2005	22	134.0
2005	23	140.0
2005	24	137.0
2005	25	135.0
2005	26	147.0
2005	27	145.0
2005	28	125.0
2005	29	140.0
2005	30	129.0
2005	31	138.0
2005	32	144.0
2005	33	154.0
2005	34	126.0
2005	35	151.0
2005	36	157.0
2005	37	140.0
