Year	Week	Y_GE90,T,NR,PL

2000	1	592.0
2000	2	651.0
2000	3	719.0
2000	4	779.0
2000	5	762.0
2000	6	640.0
2000	7	592.0
2000	8	589.0
2000	9	584.0
2000	10	532.0
2000	11	520.0
2000	12	471.0
2000	13	515.0
2000	14	472.0
2000	15	414.0
2000	16	465.0
2000	17	471.0
2000	18	435.0
2000	19	429.0
2000	20	466.0
2000	21	427.0
2000	22	417.0
2000	23	400.0
2000	24	441.0
2000	25	459.0
2000	26	351.0
2000	27	404.0
2000	28	393.0
2000	29	393.0
2000	30	441.0
2000	31	414.0
2000	32	413.0
2000	33	448.0
2000	34	412.0
2000	35	406.0
2000	36	417.0
2000	37	427.0
2000	38	440.0
2000	39	494.0
2000	40	516.0
2000	41	476.0
2000	42	438.0
2000	43	473.0
2000	44	521.0
2000	45	486.0
2000	46	489.0
2000	47	531.0
2000	48	532.0
2000	49	470.0
2000	50	566.0
2000	51	545.0
2000	52	600.0
2000	53	NaN

2001	1	585.0
2001	2	574.0
2001	3	549.0
2001	4	582.0
2001	5	574.0
2001	6	591.0
2001	7	522.0
2001	8	552.0
2001	9	535.0
2001	10	566.0
2001	11	548.0
2001	12	471.0
2001	13	519.0
2001	14	458.0
2001	15	484.0
2001	16	468.0
2001	17	544.0
2001	18	522.0
2001	19	443.0
2001	20	535.0
2001	21	460.0
2001	22	474.0
2001	23	466.0
2001	24	494.0
2001	25	492.0
2001	26	492.0
2001	27	499.0
2001	28	515.0
2001	29	501.0
2001	30	431.0
2001	31	457.0
2001	32	410.0
2001	33	432.0
2001	34	436.0
2001	35	375.0
2001	36	447.0
2001	37	454.0
2001	38	501.0
2001	39	456.0
2001	40	574.0
2001	41	512.0
2001	42	491.0
2001	43	467.0
2001	44	526.0
2001	45	529.0
2001	46	566.0
2001	47	525.0
2001	48	536.0
2001	49	581.0
2001	50	622.0
2001	51	602.0
2001	52	637.0
2001	53	NaN

2002	1	569.0
2002	2	596.0
2002	3	579.0
2002	4	540.0
2002	5	547.0
2002	6	522.0
2002	7	520.0
2002	8	543.0
2002	9	552.0
2002	10	539.0
2002	11	519.0
2002	12	570.0
2002	13	527.0
2002	14	599.0
2002	15	630.0
2002	16	546.0
2002	17	513.0
2002	18	523.0
2002	19	550.0
2002	20	538.0
2002	21	470.0
2002	22	455.0
2002	23	488.0
2002	24	479.0
2002	25	554.0
2002	26	452.0
2002	27	489.0
2002	28	518.0
2002	29	460.0
2002	30	430.0
2002	31	523.0
2002	32	418.0
2002	33	463.0
2002	34	427.0
2002	35	459.0
2002	36	454.0
2002	37	426.0
2002	38	466.0
2002	39	517.0
2002	40	573.0
2002	41	499.0
2002	42	510.0
2002	43	547.0
2002	44	529.0
2002	45	542.0
2002	46	556.0
2002	47	554.0
2002	48	542.0
2002	49	537.0
2002	50	629.0
2002	51	641.0
2002	52	691.0
2002	53	NaN

2003	1	713.0
2003	2	711.0
2003	3	681.0
2003	4	656.0
2003	5	649.0
2003	6	647.0
2003	7	674.0
2003	8	761.0
2003	9	725.0
2003	10	790.0
2003	11	756.0
2003	12	750.0
2003	13	684.0
2003	14	624.0
2003	15	594.0
2003	16	554.0
2003	17	558.0
2003	18	512.0
2003	19	556.0
2003	20	504.0
2003	21	514.0
2003	22	539.0
2003	23	499.0
2003	24	509.0
2003	25	462.0
2003	26	469.0
2003	27	489.0
2003	28	450.0
2003	29	480.0
2003	30	501.0
2003	31	458.0
2003	32	470.0
2003	33	524.0
2003	34	477.0
2003	35	444.0
2003	36	471.0
2003	37	490.0
2003	38	501.0
2003	39	506.0
2003	40	508.0
2003	41	519.0
2003	42	557.0
2003	43	579.0
2003	44	574.0
2003	45	526.0
2003	46	570.0
2003	47	588.0
2003	48	554.0
2003	49	534.0
2003	50	537.0
2003	51	589.0
2003	52	606.0
2003	53	NaN

2004	1	620.0
2004	2	689.0
2004	3	713.0
2004	4	686.0
2004	5	757.0
2004	6	697.0
2004	7	593.0
2004	8	614.0
2004	9	622.0
2004	10	597.0
2004	11	561.0
2004	12	637.0
2004	13	559.0
2004	14	539.0
2004	15	610.0
2004	16	581.0
2004	17	517.0
2004	18	541.0
2004	19	539.0
2004	20	526.0
2004	21	552.0
2004	22	501.0
2004	23	570.0
2004	24	522.0
2004	25	506.0
2004	26	526.0
2004	27	496.0
2004	28	515.0
2004	29	485.0
2004	30	584.0
2004	31	441.0
2004	32	521.0
2004	33	509.0
2004	34	497.0
2004	35	512.0
2004	36	489.0
2004	37	479.0
2004	38	514.0
2004	39	537.0
2004	40	551.0
2004	41	568.0
2004	42	579.0
2004	43	574.0
2004	44	592.0
2004	45	507.0
2004	46	534.0
2004	47	563.0
2004	48	600.0
2004	49	561.0
2004	50	603.0
2004	51	636.0
2004	52	645.0
2004	53	687.0

2005	1	687.0
2005	2	642.0
2005	3	668.0
2005	4	609.0
2005	5	622.0
2005	6	703.0
2005	7	727.0
2005	8	733.0
2005	9	709.0
2005	10	753.0
2005	11	717.0
2005	12	748.0
2005	13	648.0
2005	14	637.0
2005	15	632.0
2005	16	612.0
2005	17	621.0
2005	18	566.0
2005	19	549.0
2005	20	542.0
2005	21	645.0
2005	22	573.0
2005	23	523.0
2005	24	550.0
2005	25	536.0
2005	26	530.0
2005	27	551.0
2005	28	549.0
2005	29	459.0
2005	30	562.0
2005	31	450.0
2005	32	417.0
2005	33	497.0
2005	34	451.0
2005	35	460.0
2005	36	535.0
2005	37	489.0
2005	38	502.0
2005	39	513.0
2005	40	548.0
2005	41	554.0
2005	42	566.0
2005	43	543.0
2005	44	576.0
2005	45	527.0
2005	46	566.0
2005	47	529.0
2005	48	553.0
2005	49	620.0
2005	50	613.0
2005	51	582.0
2005	52	631.0
2005	53	NaN

2006	1	605.0
2006	2	568.0
2006	3	592.0
2006	4	634.0
2006	5	728.0
2006	6	658.0
2006	7	598.0
2006	8	574.0
2006	9	555.0
2006	10	582.0
2006	11	561.0
2006	12	609.0
2006	13	654.0
2006	14	601.0
2006	15	579.0
2006	16	598.0
2006	17	558.0
2006	18	535.0
2006	19	530.0
2006	20	535.0
2006	21	474.0
2006	22	504.0
2006	23	539.0
2006	24	591.0
2006	25	619.0
2006	26	533.0
2006	27	541.0
2006	28	579.0
2006	29	541.0
2006	30	562.0
2006	31	511.0
2006	32	482.0
2006	33	479.0
2006	34	429.0
2006	35	460.0
2006	36	444.0
2006	37	477.0
2006	38	509.0
2006	39	487.0
2006	40	486.0
2006	41	496.0
2006	42	565.0
2006	43	552.0
2006	44	560.0
2006	45	546.0
2006	46	549.0
2006	47	537.0
2006	48	520.0
2006	49	562.0
2006	50	560.0
2006	51	507.0
2006	52	564.0
2006	53	NaN

2007	1	590.0
2007	2	582.0
2007	3	578.0
2007	4	560.0
2007	5	575.0
2007	6	573.0
2007	7	621.0
2007	8	627.0
2007	9	695.0
2007	10	685.0
2007	11	672.0
2007	12	632.0
2007	13	602.0
2007	14	555.0
2007	15	595.0
2007	16	557.0
2007	17	570.0
2007	18	509.0
2007	19	526.0
2007	20	522.0
2007	21	548.0
2007	22	480.0
2007	23	483.0
2007	24	430.0
2007	25	484.0
2007	26	408.0
2007	27	461.0
2007	28	453.0
2007	29	622.0
2007	30	478.0
2007	31	423.0
2007	32	506.0
2007	33	482.0
2007	34	433.0
2007	35	452.0
2007	36	445.0
2007	37	470.0
2007	38	482.0
2007	39	549.0
2007	40	516.0
2007	41	495.0
2007	42	592.0
2007	43	516.0
2007	44	529.0
2007	45	504.0
2007	46	560.0
2007	47	565.0
2007	48	599.0
2007	49	551.0
2007	50	583.0
2007	51	587.0
2007	52	624.0
2007	53	NaN

2008	1	659.0
2008	2	640.0
2008	3	651.0
2008	4	562.0
2008	5	572.0
2008	6	557.0
2008	7	553.0
2008	8	567.0
2008	9	602.0
2008	10	611.0
2008	11	557.0
2008	12	622.0
2008	13	609.0
2008	14	633.0
2008	15	594.0
2008	16	544.0
2008	17	524.0
2008	18	530.0
2008	19	497.0
2008	20	523.0
2008	21	504.0
2008	22	496.0
2008	23	530.0
2008	24	477.0
2008	25	449.0
2008	26	471.0
2008	27	498.0
2008	28	461.0
2008	29	441.0
2008	30	491.0
2008	31	487.0
2008	32	466.0
2008	33	449.0
2008	34	462.0
2008	35	452.0
2008	36	463.0
2008	37	417.0
2008	38	495.0
2008	39	499.0
2008	40	523.0
2008	41	499.0
2008	42	533.0
2008	43	487.0
2008	44	541.0
2008	45	541.0
2008	46	507.0
2008	47	514.0
2008	48	495.0
2008	49	576.0
2008	50	552.0
2008	51	541.0
2008	52	537.0
2008	53	NaN

2009	1	602.0
2009	2	677.0
2009	3	719.0
2009	4	783.0
2009	5	815.0
2009	6	710.0
2009	7	724.0
2009	8	622.0
2009	9	624.0
2009	10	594.0
2009	11	588.0
2009	12	511.0
2009	13	536.0
2009	14	536.0
2009	15	531.0
2009	16	493.0
2009	17	526.0
2009	18	509.0
2009	19	499.0
2009	20	483.0
2009	21	501.0
2009	22	457.0
2009	23	455.0
2009	24	496.0
2009	25	454.0
2009	26	493.0
2009	27	547.0
2009	28	437.0
2009	29	490.0
2009	30	449.0
2009	31	398.0
2009	32	468.0
2009	33	478.0
2009	34	454.0
2009	35	412.0
2009	36	427.0
2009	37	411.0
2009	38	416.0
2009	39	487.0
2009	40	487.0
2009	41	538.0
2009	42	508.0
2009	43	554.0
2009	44	545.0
2009	45	548.0
2009	46	586.0
2009	47	493.0
2009	48	556.0
2009	49	533.0
2009	50	493.0
2009	51	524.0
2009	52	617.0
2009	53	607.0

2010	1	620.0
2010	2	512.0
2010	3	618.0
2010	4	632.0
2010	5	594.0
2010	6	609.0
2010	7	624.0
2010	8	600.0
2010	9	554.0
2010	10	565.0
2010	11	558.0
2010	12	550.0
2010	13	600.0
2010	14	549.0
2010	15	577.0
2010	16	528.0
2010	17	548.0
2010	18	602.0
2010	19	507.0
2010	20	544.0
2010	21	532.0
2010	22	527.0
2010	23	664.0
2010	24	523.0
2010	25	494.0
2010	26	541.0
2010	27	538.0
2010	28	682.0
2010	29	549.0
2010	30	467.0
2010	31	516.0
2010	32	561.0
2010	33	508.0
2010	34	487.0
2010	35	511.0
2010	36	483.0
2010	37	557.0
2010	38	608.0
2010	39	607.0
2010	40	584.0
2010	41	610.0
2010	42	581.0
2010	43	533.0
2010	44	613.0
2010	45	533.0
2010	46	581.0
2010	47	575.0
2010	48	623.0
2010	49	628.0
2010	50	607.0
2010	51	629.0
2010	52	620.0
2010	53	NaN

2011	1	644.0
2011	2	635.0
2011	3	617.0
2011	4	616.0
2011	5	681.0
2011	6	599.0
2011	7	627.0
2011	8	647.0
2011	9	637.0
2011	10	667.0
2011	11	658.0
2011	12	659.0
2011	13	576.0
2011	14	587.0
2011	15	587.0
2011	16	564.0
2011	17	597.0
2011	18	507.0
2011	19	570.0
2011	20	550.0
2011	21	512.0
2011	22	552.0
2011	23	547.0
2011	24	511.0
2011	25	505.0
2011	26	513.0
2011	27	555.0
2011	28	548.0
2011	29	523.0
2011	30	476.0
2011	31	536.0
2011	32	479.0
2011	33	510.0
2011	34	537.0
2011	35	482.0
2011	36	528.0
2011	37	475.0
2011	38	497.0
2011	39	568.0
2011	40	629.0
2011	41	574.0
2011	42	587.0
2011	43	594.0
2011	44	585.0
2011	45	568.0
2011	46	632.0
2011	47	589.0
2011	48	592.0
2011	49	644.0
2011	50	657.0
2011	51	644.0
2011	52	682.0
2011	53	NaN

2012	1	665.0
2012	2	661.0
2012	3	689.0
2012	4	633.0
2012	5	657.0
2012	6	741.0
2012	7	759.0
2012	8	664.0
2012	9	690.0
2012	10	647.0
2012	11	647.0
2012	12	631.0
2012	13	701.0
2012	14	624.0
2012	15	714.0
2012	16	683.0
2012	17	668.0
2012	18	708.0
2012	19	581.0
2012	20	579.0
2012	21	643.0
2012	22	552.0
2012	23	638.0
2012	24	541.0
2012	25	587.0
2012	26	584.0
2012	27	671.0
2012	28	559.0
2012	29	551.0
2012	30	681.0
2012	31	615.0
2012	32	574.0
2012	33	525.0
2012	34	593.0
2012	35	529.0
2012	36	510.0
2012	37	544.0
2012	38	593.0
2012	39	624.0
2012	40	641.0
2012	41	647.0
2012	42	734.0
2012	43	697.0
2012	44	675.0
2012	45	600.0
2012	46	620.0
2012	47	641.0
2012	48	654.0
2012	49	661.0
2012	50	694.0
2012	51	766.0
2012	52	840.0
2012	53	NaN

2013	1	889.0
2013	2	887.0
2013	3	813.0
2013	4	793.0
2013	5	819.0
2013	6	827.0
2013	7	857.0
2013	8	765.0
2013	9	736.0
2013	10	783.0
2013	11	772.0
2013	12	830.0
2013	13	797.0
2013	14	828.0
2013	15	848.0
2013	16	760.0
2013	17	765.0
2013	18	671.0
2013	19	666.0
